"Frequency(GHz)","y(m)","Re(Ez)","Im(Ez)"
2.,-0.24,0.0004496923471046763,-0.0007629185211256096
2.,-0.23199999999999998,0.0004887550419353322,-0.00027710907004064607
2.,-0.22399999999999998,0.0004990317240839513,0.0003268828002186703
2.,-0.216,0.0003162403575212532,0.0009885801541477707
2.,-0.208,0.00006535791635374701,0.0014798574366370217
2.,-0.19999999999999998,-0.00013976545028843653,0.001775346930744994
2.,-0.192,-0.0004599341747474271,0.0018318325444754502
2.,-0.184,-0.0007229554329781547,0.001688192593375344
2.,-0.176,-0.0009701046075064131,0.001368234122142416
2.,-0.16799999999999998,-0.0011696325633873232,0.0010153457373052784
2.,-0.15999999999999998,-0.0013702210681682712,0.0005575943626399052
2.,-0.152,-0.0014299960299956457,0.00021073240803609803
2.,-0.144,-0.0015021799006425319,-0.00010333624245923455
2.,-0.13599999999999998,-0.0014335586065011973,-0.000301107866596583
2.,-0.128,-0.0013915679003845428,-0.0003221041263618888
2.,-0.12,-0.00124221296683104,-0.0001984195218138216
2.,-0.11199999999999999,-0.0010749685375660903,0.00005411942482159951
2.,-0.10399999999999998,-0.0011104360533892635,0.00038787727986217056
2.,-0.09599999999999997,-0.0011278851026726934,0.000631296164069613
2.,-0.088,-0.0012229932504370217,0.0006932454583230158
2.,-0.07999999999999999,-0.001386682692447158,0.0006960909700373227
2.,-0.07199999999999998,-0.00168821265828471,0.0005074868333339027
2.,-0.064,-0.0019142135020719223,0.0001317188524302651
2.,-0.055999999999999994,-0.0022386144515352453,-0.00024700238334387305
2.,-0.04799999999999999,-0.00249085932854887,-0.0008173046652143079
2.,-0.03999999999999998,-0.002617892006336009,-0.0014017800926186764
2.,-0.03199999999999997,-0.0026492014459112913,-0.0021044205666599833
2.,-0.023999999999999994,-0.0023347635334798047,-0.002913656625742453
2.,-0.015999999999999986,-0.0015833916594161473,-0.0038529656304970307
2.,-0.00799999999999998,-0.00006550409272850143,-0.004731396584131985
2.,0.,0.0018907545601155034,-0.00565198889002822
2.,0.008000000000000007,0.0015248115624510532,-0.005774977458927054
2.,0.016000000000000014,-0.0002090738444254609,-0.005835325748617394
2.,0.02400000000000002,-0.0020160402371784607,-0.004922970750520199
2.,0.03200000000000003,-0.0029850231612030924,-0.003915592876778827
2.,0.040000000000000036,-0.0033562649350934973,-0.002911067321629962
2.,0.04800000000000004,-0.0034319394125859534,-0.0021797854062359403
2.,0.055999999999999994,-0.003221420997036776,-0.0014385311537295897
2.,0.064,-0.0030014604627433307,-0.0007526105732638829
2.,0.07200000000000001,-0.0026668177481394173,-0.000152421347286425
2.,0.08000000000000002,-0.0023470587960498185,0.0002705434676446196
2.,0.08800000000000002,-0.00204884504954225,0.0006424187131195782
2.,0.09600000000000003,-0.0019140827793534038,0.0007485583987123173
2.,0.10400000000000004,-0.0017420323822828143,0.000819631153311087
2.,0.11199999999999999,-0.0016885011094014246,0.0007575905572604233
2.,0.12,-0.0016242686775995536,0.0007155814216907797
2.,0.128,-0.0016871742647451625,0.0007085033594709489
2.,0.136,-0.0016101480135345364,0.0007872500647893186
2.,0.14400000000000002,-0.0014767463306710634,0.0009297230106056056
2.,0.15200000000000002,-0.0012361399822555458,0.0011223140775510475
2.,0.16000000000000003,-0.0009080257428955951,0.001345908167424101
2.,0.16800000000000004,-0.0003898793192130535,0.0014837721038117565
2.,0.17600000000000005,0.00010258867738503617,0.001668008186092739
2.,0.184,0.0005068025137981913,0.0016828003041382642
2.,0.192,0.0008692646349211312,0.0016289334682777663
2.,0.2,0.0011489778698258938,0.0013907918373179903
2.,0.20800000000000002,0.0012740362910223146,0.0010923001609256058
2.,0.21600000000000003,0.001320751186570803,0.000657497857617662
2.,0.22400000000000003,0.0012730936955568741,0.00020302097116638282
2.,0.23200000000000004,0.0011204440697983153,-0.0002945737205756616
