"ky(2π/a)","Frequency(GHz)","LDOS(s/m)"
-0.5,8.,0.038360248388244485
-0.5,8.01,0.03958544184029714
-0.5,8.02,0.04087797024716756
-0.5,8.03,0.04224311172862286
-0.5,8.04,0.04368668625944282
-0.5,8.05,0.04521512505901
-0.5,8.06,0.046835550712578014
-0.5,8.07,0.04855586998294588
-0.5,8.08,0.05038488168594386
-0.5,8.09,0.05233240251832847
-0.5,8.1,0.05440941436993972
-0.5,8.11,0.056628237459403735
-0.5,8.12,0.05900273465177181
-0.5,8.13,0.06154855361025591
-0.5,8.14,0.06428341508671366
-0.5,8.15,0.06722745777982364
-0.5,8.16,0.07040365293910221
-0.5,8.17,0.0738383054764593
-0.5,8.18,0.07756166305322067
-0.5,8.19,0.08160866084067514
-0.5,8.2,0.08601983796949791
-0.5,8.21,0.09084247288688871
-0.5,8.22,0.0961320000757364
-0.5,8.23,0.10195379151963702
-0.5,8.24,0.10838541536161528
-0.5,8.25,0.11551952503379508
-0.5,8.26,0.12346759020741165
-0.5,8.27,0.13236476461530516
-0.5,8.28,0.14237630818477995
-0.5,8.29,0.15370616265268144
-0.5,8.3,0.16660855425057028
-0.5,8.31,0.18140391901158806
-0.5,8.32,0.1985011080677001
-0.5,8.33,0.2184288910213237
-0.5,8.34,0.24188151636541239
-0.5,8.35,0.2697860208639345
-0.5,8.36,0.30340406608512555
-0.5,8.37,0.3444901890704566
-0.5,8.38,0.39554526272017887
-0.5,8.39,0.4602366376896417
-0.5,8.4,0.5441225117375678
-0.5,8.41,0.6559586895966298
-0.5,8.42,0.8101829122699753
-0.5,8.43,1.0319341278619523
-0.5,8.44,1.3679281684239535
-0.5,8.45,1.9119186197337967
-0.5,8.46,2.8687928525084936
-0.5,8.47,4.71690806211775
-0.5,8.48,8.447034191000531
-0.5,8.49,13.732810295760652
-0.5,8.5,12.806245044292424
-0.5,8.51,7.7483002332581155
-0.5,8.52,4.905493297784558
-0.5,8.53,3.7503830093369066
-0.5,8.54,3.5418978257563647
-0.5,8.55,4.26756332942881
-0.5,8.56,6.543392354483669
-0.5,8.57,11.759527682874255
-0.5,8.58,15.99056008655191
-0.5,8.59,10.478006667922665
-0.5,8.6,5.572389028271503
-0.5,8.61,3.3146235738047785
-0.5,8.62,2.266514588563546
-0.5,8.63,1.774655277411263
-0.5,8.64,1.6348383428020314
-0.5,8.65,1.7787227852576097
-0.5,8.66,1.641119990987649
-0.5,8.67,1.310644761614495
-0.5,8.68,1.2100077966043994
-0.5,8.69,1.292973315931937
-0.5,8.7,1.567072979831883
-0.5,8.71,2.161986299720496
-0.5,8.72,3.469589032246632
-0.5,8.73,6.617464992021471
-0.5,8.74,13.01404906765051
-0.5,8.75,12.768566546352677
-0.5,8.76,6.4233567072250555
