"ky(2π/a)","Frequency(GHz)","LDOS(s/m)"
-0.5,8.,7.7067091741051605
-0.5,8.01,4.010381633643753
-0.5,8.02,2.5075365417679043
-0.5,8.03,1.7969690305962531
-0.5,8.04,1.4428378735553553
-0.5,8.05,1.316941007922046
-0.5,8.06,1.4618242819041904
-0.5,8.07,1.502020675090077
-0.5,8.08,1.1787358547256788
-0.5,8.09,1.0940329444331935
-0.5,8.1,1.1521796427658146
-0.5,8.11,1.323646086592663
-0.5,8.12,1.648231466352697
-0.5,8.13,2.24381346020541
-0.5,8.14,3.401111473283277
-0.5,8.15,5.848830459603883
-0.5,8.16,10.864040449559312
-0.5,8.17,14.840261148312536
-0.5,8.18,9.987324327625682
-0.5,8.19,5.391637832886015
-0.5,8.2,3.2135016239383427
-0.5,8.21,2.1740012242540154
-0.5,8.22,1.630519540713072
-0.5,8.23,1.3241542132995237
-0.5,8.24,1.1431226075780716
-0.5,8.25,1.0344592369622019
-0.5,8.26,0.9710618398660297
-0.5,8.27,0.9381108703861331
-0.5,8.28,0.9264133480999944
-0.5,8.29,0.9281502693940928
-0.5,8.3,0.9341131776899865
-0.5,8.31,0.9341994650772844
-0.5,8.32,0.9225112236819163
-0.5,8.33,0.9022040537771497
-0.5,8.34,0.8833010319962442
-0.5,8.35,0.8763675155388618
-0.5,8.36,0.8892516413599675
-0.5,8.37,0.9278408918742699
-0.5,8.38,0.9981969842697986
-0.5,8.39,1.1085860554029314
-0.5,8.4,1.2712596941281293
-0.5,8.41,1.5039677265250848
-0.5,8.42,1.830089240115188
-0.5,8.43,2.272931096382289
-0.5,8.44,2.832545323852775
-0.5,8.45,3.4303077841499157
-0.5,8.46,3.855628590876747
-0.5,8.47,3.8697074028292326
-0.5,8.48,3.47006294837405
-0.5,8.49,2.894927901427388
-0.5,8.5,2.359473400263156
-0.5,8.51,1.9475381810880847
-0.5,8.52,1.6641443954406825
-0.5,8.53,1.4924907074970644
-0.5,8.54,1.4191913802909846
-0.5,8.55,1.442512377151943
-0.5,8.56,1.574863468619896
-0.5,8.57,1.839129988772252
-0.5,8.58,2.2390731163054793
-0.5,8.59,2.663876566013856
-0.5,8.6,2.819893447018333
-0.5,8.61,2.5487515550945004
-0.5,8.62,2.09594845801044
-0.5,8.63,1.7212689567594504
-0.5,8.64,1.4996869946235765
-0.5,8.65,1.4306629845765713
-0.5,8.66,1.523721973044919
-0.5,8.67,1.8376832985540894
-0.5,8.68,2.501863088935428
-0.5,8.69,3.539104625900342
-0.5,8.7,4.075848933704212
-0.5,8.71,3.524119799747536
-0.5,8.72,3.1946523462477576
-0.5,8.73,3.882093464281854
-0.5,8.74,6.596009964338562
-0.5,8.75,12.779837995457882
-0.5,8.76,11.856250042079191
-0.5,8.77,5.676508192397942
-0.5,8.78,2.921312348236847
-0.5,8.79,1.7610400345108523
-0.5,8.8,1.1913705174492488
-0.5,8.81,0.8725143965492067
-0.5,8.82,0.6757955601830756
-0.5,8.83,0.5453019560032212
-0.5,8.84,0.45381947763130187
-0.5,8.85,0.3868563683283177
-0.5,8.86,0.33612243170658257
-0.5,8.87,0.29659198586896707
-0.5,8.88,0.26506948727094953
-0.5,8.89,0.23944048676929966
-0.5,8.9,0.21825790052550545
-0.5,8.91,0.20050236137873262
-0.5,8.92,0.1854376309140037
-0.5,8.93,0.17252023213304965
-0.5,8.94,0.16134120200838092
-0.5,8.95,0.15158751417387564
-0.5,8.96,0.1430159063657689
-0.5,8.97,0.13543473780018
-0.5,8.98,0.12869116755131696
