"ky(2π/a)","Frequency(GHz)","Abs[R]","Arg[R]"
-0.25,9.,0.8279709954343202,-0.4275672124077013
-0.25,9.020000000000001,0.8940838230522826,-1.6158186489269246
-0.25,9.040000000000001,0.3784811868024101,1.6970172902363252
-0.25,9.06,0.9999490905300181,-1.4120049922038809
-0.25,9.08,0.9999332477598729,-1.1179360213332963
-0.25,9.100000000000001,0.9999253207536631,-1.0133793609447126
-0.25,9.120000000000001,0.9999240159413625,-0.9443835134117227
-0.25,9.14,0.9999265065069329,-0.8916782280897303
-0.25,9.16,0.9999317069579193,-0.8483694823618328
-0.25,9.18,0.9999390568885493,-0.8111578297240065
-0.25,9.200000000000001,0.9999482108077766,-0.7782006994868998
-0.25,9.22,0.9999589244539342,-0.7483634739845072
-0.25,9.24,0.9999710053819714,-0.7208982760110924
-0.25,9.26,0.999984288748041,-0.6952866800233256
-0.25,9.280000000000001,0.9999986244437874,-0.6711550511066763
-0.25,9.3,1.0000138699129955,-0.6482256075908784
-0.25,9.32,1.0000298860547465,-0.6262865079535305
-0.25,9.34,1.0000465349156968,-0.6051727239624632
-0.25,9.360000000000001,1.0000636784761388,-0.5847533479690509
-0.25,9.38,1.0000811781350993,-0.56492290320153
-0.25,9.4,1.0000988946590565,-0.5455952344199932
-0.25,9.42,1.000116688446959,-0.52669911308458
-0.25,9.440000000000001,1.0001344200156377,-0.508175011999425
-0.25,9.46,1.0001519506402121,-0.48997269615665884
-0.25,9.48,1.0001691431030637,-0.4720493948517377
-0.25,9.5,1.000185862516761,-0.4543683952616959
-0.25,9.520000000000001,1.0002019771949329,-0.43689794656246883
-0.25,9.540000000000001,1.000217359548551,-0.4196103961850768
-0.25,9.56,1.0002318869917581,-0.40248150188708465
-0.25,9.58,1.0002454428402703,-0.3854898785735103
-0.25,9.600000000000001,1.000257917190432,-0.36861654951869904
-0.25,9.620000000000001,1.0002692077665922,-0.35184457928306
-0.25,9.64,1.000279220726528,-0.3351587711439082
-0.25,9.66,1.0002878714152936,-0.31854541590276414
-0.25,9.68,1.000295085059066,-0.3019920819273322
-0.25,9.700000000000001,1.0003007973911517,-0.28548743852692976
-0.25,9.72,1.0003049552032854,-0.26902110645589883
-0.25,9.74,1.0003075168162268,-0.25258353063167405
-0.25,9.76,1.0003084524642343,-0.23616587115052992
-0.25,9.780000000000001,1.0003077445891149,-0.21975990945463317
-0.25,9.8,1.0003053880402286,-0.2033579671091048
-0.25,9.82,1.0003013901775335,-0.186952835121315
-0.25,9.84,1.0002957708758555,-0.17053771211156774
-0.25,9.860000000000001,1.0002885624293574,-0.1541061499444106
-0.25,9.88,1.0002798093559058,-0.13765200566902328
-0.25,9.9,1.0002695681020564,-0.12116939881111434
-0.25,9.92,1.0002579066501025,-0.10465267321497758
-0.25,9.940000000000001,1.000244904029574,-0.0880963627609443
-0.25,9.96,1.0002306497364308,-0.07149516038637396
-0.25,9.98,1.000215243063695,-0.05484388992252252
-0.25,10.,1.0001987923484443,-0.038137480327490744
-0.25,10.020000000000001,1.000181414140554,-0.02137094195115554
-0.25,10.040000000000001,1.000163232299261,-0.004539344511968748
-0.25,10.06,1.0001443770243597,0.012362203498703499
-0.25,10.08,1.0001249838295088,0.0293385742413213
-0.25,10.100000000000001,1.0001051924652635,0.04639463901908125
-0.25,10.120000000000003,1.0000851458004705,0.06353528605640682
-0.25,10.14,1.0000649886707207,0.08076543778027005
-0.25,10.16,1.0000448667027804,0.09809006781568377
-0.25,10.180000000000001,1.0000249251247588,0.11551421791221328
-0.25,10.200000000000001,1.0000053075713267,0.13304301502839994
-0.25,10.22,0.9999861548939014,0.15068168882013833
-0.25,10.24,0.9999676039855931,0.16843558980577022
-0.25,10.26,0.9999497866306838,0.1863102085197286
-0.25,10.280000000000001,0.9999328283886534,0.20431119601778536
-0.25,10.3,0.9999168475222444,0.22244438616713022
-0.25,10.32,0.9999019539791918,0.24071582024520252
-0.25,10.34,0.9998882484368264,0.25913177449383257
-0.25,10.360000000000001,0.9998758214188108,0.2776987914352644
-0.25,10.38,0.9998647524925256,0.296423715972705
-0.25,10.4,0.9998551095558044,0.3153137375856002
-0.25,10.42,0.9998469482209772,0.3343764403219485
-0.25,10.440000000000001,0.9998403113041807,0.35361986282369473
-0.25,10.46,0.9998352284275692,0.3730525713625067
-0.25,10.48,0.9998317157420515,0.3926837498987809
-0.25,10.5,0.9998297757780238,0.4125233126490536
-0.25,10.520000000000001,0.9998293974321898,0.4325820467684575
-0.25,10.540000000000001,0.9998305560992156,0.45287179586295195
-0.25,10.56,0.9998332139585898,0.47340569968463064
-0.25,10.58,0.9998373204294662,0.49419851242534635
-0.25,10.600000000000001,0.9998428128108854,0.5152670330192787
-0.25,10.620000000000003,0.9998496171316205,0.5366306984205582
-0.25,10.64,0.9998576492456022,0.5583124196572
-0.25,10.66,0.9998668162280785,0.5803397893774853
-0.25,10.680000000000001,0.9998770181592569,0.6027468757202951
-0.25,10.700000000000001,0.9998881504347429,0.6255769756390921
-0.25,10.72,0.9999001068266649,0.6488870070087923
-0.25,10.74,0.9999127836362229,0.6727548485056589
-0.25,10.76,0.9999260853305478,0.6972923319261772
-0.25,10.780000000000001,0.9999399312860211,0.7226699916619014
-0.25,10.8,0.9999542564883965,0.749169045327826
-0.25,10.82,0.9999689461756465,0.7773066493487605
-0.25,10.84,0.9999831340250266,0.808208511719924
-0.25,10.860000000000001,0.9999850936167924,0.8452215986225484
-0.25,10.88,0.9993471409568113,0.9127433781275236
-0.25,10.9,0.9954673067062295,0.8731372534140165
-0.25,10.92,0.9905988047466634,0.977164340800055
-0.25,10.940000000000001,0.9925490447955405,0.872157028251454
-0.25,10.96,0.9958258754380158,0.7723517595733352
-0.25,10.98,0.9950033877128043,0.8630880260573437
-0.25,11.,1.000407138770681,1.1635477581860396
-0.245,9.,0.8992200171423995,-0.8676271137280338
-0.245,9.020000000000001,0.39450824499436055,1.0106623907348966
-0.245,9.040000000000001,0.9290805563165433,-1.273950097774367
-0.245,9.06,0.7405451255270479,-2.3315372280090823
