"ky(2π/a)","Frequency(GHz)","LDOS(s/m)"
-0.24,9.3,0.5920619485403233
-0.24,9.31,0.5364985046247731
-0.24,9.32,0.48873681086394494
-0.24,9.33,0.44736220161868656
-0.24,9.34,0.4112692647309059
-0.24,9.35,0.3795837727437452
-0.24,9.36,0.3516067313018228
-0.24,9.370000000000001,0.3267736536756131
-0.24,9.38,0.3046244965490151
-0.24,9.39,0.2847811773291769
-0.24,9.4,0.26693056008598354
-0.24,9.41,0.25081143804779044
-0.24,9.42,0.23620447237407752
-0.24,9.43,0.22292434234099984
-0.24,9.44,0.21081356705895138
-0.24,9.45,0.1997376029518008
-0.24,9.46,0.18958092378660335
-0.24,9.47,0.18024386386745622
-0.24,9.48,0.17164005871773624
-0.24,9.49,0.16369435704440352
-0.24,9.5,0.15634110705570758
-0.24,9.51,0.14952274211429817
-0.24,9.52,0.1431886072422068
-0.24,9.53,0.13729398057022027
-0.24,9.54,0.13179925346097324
-0.24,9.55,0.12666924047182296
-0.24,9.56,0.12187259610108438
-0.24,9.57,0.1173813197782402
-0.24,9.58,0.11317033411180911
-0.24,9.59,0.10921712421938418
-0.24,9.6,0.10550142820035519
-0.24,9.61,0.10200497059981284
-0.24,9.620000000000001,0.09871123214908561
-0.24,9.63,0.09560525022873106
-0.24,9.64,0.09267344544110742
-0.24,9.65,0.08990347044666179
-0.24,9.66,0.08728407784562643
-0.24,9.67,0.08480500440241226
-0.24,9.68,0.08245686933521282
-0.24,9.69,0.08023108474535386
-0.24,9.7,0.07811977655337808
-0.24,9.71,0.07611571455268207
-0.24,9.72,0.0742122503954713
-0.24,9.73,0.07240326249694132
-0.24,9.74,0.07068310698767734
-0.24,9.75,0.06904657396588225
-0.24,9.76,0.06748884840405367
-0.24,9.77,0.06600547515217994
-0.24,9.78,0.06459232755398733
-0.24,9.79,0.06324557925633839
-0.24,9.8,0.061961678846279976
-0.24,9.81,0.060737326996916134
-0.24,9.82,0.05956945584341491
-0.24,9.83,0.058455210345067884
-0.24,9.84,0.057391931419205205
-0.24,9.85,0.056377140658658405
-0.24,9.86,0.055408526466923534
-0.24,9.870000000000001,0.05448393146470629
-0.24,9.88,0.05360134103855193
-0.24,9.89,0.05275887291711782
-0.24,9.9,0.051954767673653694
-0.24,9.91,0.05118738006464265
-0.24,9.92,0.05045517112457092
-0.24,9.93,0.049756700945599856
-0.24,9.94,0.049090622078681256
-0.24,9.95,0.04845567349951958
-0.24,9.96,0.0478506750888591
-0.24,9.97,0.047274522581963595
-0.24,9.98,0.046726182946946054
-0.24,9.99,0.04620469015587856
-0.24,10.,0.04570914131642165
-0.24,10.01,0.04523869313513052
-0.24,10.02,0.04479255868666022
-0.24,10.030000000000001,0.04437000446585559
-0.24,10.04,0.043970347702208014
-0.24,10.05,0.04359295391842536
-0.24,10.06,0.043237234716930646
-0.24,10.07,0.042902645779988466
-0.24,10.08,0.042588685070906594
-0.24,10.09,0.042294891225368766
-0.24,10.1,0.042020842123462576
-0.24,10.11,0.041766153634383185
-0.24,10.120000000000001,0.04153047852713807
-0.24,10.129999999999999,0.04131350554186812
-0.24,10.14,0.041114958617650084
-0.24,10.15,0.04093459627387142
-0.24,10.16,0.04077221114348377
-0.24,10.17,0.04062762965766497
-0.24,10.18,0.04050071188266377
-0.24,10.19,0.04039135151088444
-0.24,10.2,0.04029947600960941
-0.24,10.21,0.04022504693217293
-0.24,10.22,0.040168060397912916
-0.24,10.23,0.04012854774886058
-0.24,10.24,0.0401065763929092
-0.24,10.25,0.04010225084516105
-0.24,10.26,0.040115713981321584
-0.24,10.27,0.04014714851943175
-0.24,10.280000000000001,0.04019677874894867
-0.24,10.29,0.04026487252925632
-0.24,10.3,0.04035174358317389
-0.24,10.31,0.04045775411500535
-0.24,10.32,0.04058331778722697
-0.24,10.33,0.040728903095144084
-0.24,10.34,0.04089503718489071
-0.24,10.35,0.041082310167141735
-0.24,10.36,0.04129137998703942
-0.24,10.370000000000001,0.041522977920314924
-0.24,10.379999999999999,0.04177791477667607
-0.24,10.39,0.04205708790454626
-0.24,10.4,0.042361489106559826
-0.24,10.41,0.04269221359332161
-0.24,10.42,0.04305047012438499
-0.24,10.43,0.04343759251091615
-0.24,10.44,0.04385505268495505
-0.24,10.45,0.044304475576649086
-0.24,10.46,0.044787656084674804
-0.24,10.47,0.04530657847797319
-0.24,10.48,0.04586343863104312
-0.24,10.49,0.04646066957305975
-0.24,10.5,0.04710097092645554
-0.24,10.51,0.04778734292770535
-0.24,10.52,0.04852312586754655
-0.24,10.530000000000001,0.04931204596705374
-0.24,10.54,0.05015826892938825
-0.24,10.55,0.05106646268715017
-0.24,10.56,0.05204187121853091
-0.24,10.57,0.05309040175386148
-0.24,10.58,0.05421872826702858
-0.24,10.59,0.055434414883389904
-0.24,10.6,0.05674606379148747
-0.24,10.61,0.0581634934947766
-0.24,10.620000000000001,0.059697954885767734
-0.24,10.629999999999999,0.06136239481472208
-0.24,10.64,0.06317177976661438
-0.24,10.65,0.06514349625353315
-0.24,10.66,0.0672978500133844
-0.24,10.67,0.06965869372903223
-0.24,10.68,0.07225422372224614
-0.24,10.69,0.07511800142978062
-0.24,10.7,0.0782902777660553
-0.24,10.71,0.08181973142518731
-0.24,10.72,0.08576578179732158
-0.24,10.73,0.09020171348999453
-0.24,10.74,0.095218969560777
-0.24,10.75,0.10093316452916257
-0.24,10.76,0.10749269049184061
-0.24,10.77,0.11509134232498781
-0.24,10.780000000000001,0.12398736983806402
-0.24,10.79,0.1345331791252801
-0.24,10.8,0.1472234068761619
-0.235,9.3,0.682344217423155
-0.235,9.31,0.61271604370829
-0.235,9.32,0.553710098882267
-0.235,9.33,0.5032362281012307
-0.235,9.34,0.459698840468319
-0.235,9.35,0.42186215899911494
-0.235,9.36,0.3887565546036454
-0.235,9.370000000000001,0.3596122265659934
-0.235,9.38,0.33381145557319924
-0.235,9.39,0.31085370281325553
-0.235,9.4,0.29032974333481953
-0.235,9.41,0.2719022503401636
-0.235,9.42,0.25529105057192647
-0.235,9.43,0.2402618058212479
-0.235,9.44,0.22661723746245951
-0.235,9.45,0.21419025945653974
-0.235,9.46,0.2028385583493218
-0.235,9.47,0.19244028089469808
-0.235,9.48,0.18289057711557385
-0.235,9.49,0.1740988095672254
-0.235,9.5,0.1659862855035599
-0.235,9.51,0.1584844024984872
-0.235,9.52,0.15153312325318538
-0.235,9.53,0.145079714211737
-0.235,9.54,0.1390776968993393
-0.235,9.55,0.133485971793396
-0.235,9.56,0.1282680829064252
-0.235,9.57,0.12339159773199838
-0.235,9.58,0.1188275822438806
-0.235,9.59,0.11455015458617093
-0.235,9.6,0.11053610420356076
-0.235,9.61,0.10676456562690742
-0.235,9.620000000000001,0.10321673809466
-0.235,9.63,0.09987564376506756
-0.235,9.64,0.09672591854154737
-0.235,9.65,0.09375363055883697
-0.235,9.66,0.09094612221056846
-0.235,9.67,0.0882918722787473
-0.235,9.68,0.08578037528272703
-0.235,9.69,0.08340203562365602
-0.235,9.7,0.08114807447896295
-0.235,9.71,0.07901044771530963
-0.235,9.72,0.07698177334955056
-0.235,9.73,0.0750552673052141
-0.235,9.74,0.07322468639460733
-0.235,9.75,0.0714842776100308
-0.235,9.76,0.06982873293689862
-0.235,9.77,0.06825314901084548
-0.235,9.78,0.06675299103355838
-0.235,9.79,0.06532406044083976
-0.235,9.8,0.06396246588354665
-0.235,9.81,0.0626645971394328
