"k","fa/c"
0,0.2986903734293474
0,0.509107806149636
0,0.6906727239054012
0,0.699796969171827
0,0.918320828766602
0,0.9589255522469331
0.02,0.29864232041560657
0.02,0.5090852556385672
0.02,0.6892500626561036
0.02,0.7013088041149207
0.02,0.9181807698938886
0.02,0.9588561818419596
0.04,0.2984984389486686
0.04,0.5090170170955601
0.04,0.6863147812803511
0.04,0.7045117869156619
0.04,0.9177653538828018
0.04,0.9586876738401533
0.06,0.29825955724930414
0.06,0.5089013489500849
0.06,0.6830061629900833
0.06,0.7082671541185176
0.06,0.9170882215973579
0.06,0.9584524971033763
0.08,0.29792704387049057
0.08,0.5087354142722533
0.08,0.67965126149689
0.08,0.712248667113975
0.08,0.9161694472057654
0.08,0.9581540809780512
0.1,0.29750279039036026
0.1,0.5085153792473925
0.1,0.6763579708372826
0.1,0.7163494652702926
0.1,0.9150325903041413
0.1,0.9577914115365751
0.12,0.29698918798601887
0.12,0.5082365506216207
0.12,0.673175239196361
0.12,0.7205217439661874
0.12,0.9137020098194458
0.12,0.9573654694657522
0.14,0.2963890986308624
0.14,0.507893551016434
0.14,0.6701319034754405
0.14,0.7247377812179583
0.14,0.9122009296881547
0.14,0.9568792972374428
0.16,0.2957058217944909
0.16,0.5074805297802348
0.16,0.6672483329551924
0.16,0.728978126076814
0.16,0.9105503459241334
0.16,0.9563373323972446
0.18,0.2949430576057573
0.18,0.5069914052570639
0.18,0.6645405616136858
0.18,0.7332272724377216
0.18,0.908768618437767
0.18,0.9557448867437159
0.2,0.2941048674770692
0.2,0.5064201320555013
0.2,0.6620219012125401
0.2,0.7374718315501874
0.2,0.9068715152440145
0.2,0.9551077895369643
0.22,0.2931956331729843
0.22,0.5057609842729449
0.22,0.6597035739652923
0.22,0.7416996723668897
0.22,0.9048725030907664
0.22,0.9544321337634628
0.24,0.2922200152625733
0.24,0.5050088429898936
0.24,0.6575949220081433
0.24,0.7458994830230432
0.24,0.9027831394615878
0.24,0.953724085532071
0.26,0.29118291178147604
0.26,0.504159474140112
0.26,0.6557034261933808
0.26,0.7500605335588661
0.26,0.9006134788012817
0.26,0.9529897361083012
0.28,0.29008941785741105
0.28,0.5032097815880425
0.28,0.6540346454246491
0.28,0.7541725424649575
0.28,0.8983724480385574
0.28,0.9522349864629128
0.3,0.28894478688694514
0.3,0.5021580203606768
0.3,0.6525921370168193
0.3,0.7582256001082676
0.3,0.8960681730934366
0.3,0.9514654589528228
0.32,0.28775439374512385
0.32,0.501003956774921
0.32,0.6513773941748268
0.32,0.7622101245122062
0.32,0.8937082530961006
0.32,0.9506864326734853
0.34,0.28652370036584984
0.34,0.4997489656663075
0.34,0.6503898224767557
0.34,0.7661168354854588
0.34,0.8912999867170136
0.34,0.9499027996594398
0.36,0.2852582239120958
0.36,0.4983960597229527
0.36,0.6496267670707193
0.36,0.7699367382086103
0.36,0.8888505584006815
0.36,0.9491190392288466
0.38,0.2839635076433531
0.38,0.4969498514199348
0.38,0.6490835939968936
0.38,0.7736611098954863
0.38,0.8863671934016984
0.38,0.948339207737484
0.4,0.2826450944917079
0.4,0.4954164534298656
0.4,0.648753822150278
0.4,0.7772814843382972
0.4,0.8838572905082545
0.4,0.9475669410009971
0.42,0.2813085032808716
0.42,0.4938033278708712
0.42,0.6486292970741352
0.42,0.7807896296570148
0.42,0.8813285408473711
0.42,0.9468054667238402
0.44,0.2799592074588236
0.44,0.49211909775991725
0.44,0.648700394293225
0.44,0.7841775147425061
0.44,0.8787890405233196
0.44,0.946057624446693
0.46,0.27860261617093507
0.46,0.49037333529893234
0.46,0.6489562383671886
0.46,0.7874372599225916
0.46,0.8762474041767734
0.46,0.945325890771545
0.48,0.27724405746924363
0.48,0.4885763412023427
0.48,0.6493849241150462
0.48,0.7905610674674933
0.48,0.8737128858615878
0.48,0.9446124079220204
0.5,0.2758887634356115
0.5,0.48673892751465075
0.5,0.649973728149305
0.5,0.7935411279082638
0.5,0.8711955127766177
0.5,0.9439190140188769
0.52,0.27454185699118133
0.52,0.48487221375175366
0.52,0.6507093014540167
0.52,0.7963694991193114
0.52,0.8687062360351944
0.52,0.9432472737723466
0.54,0.2732083401660024
0.54,0.48298744323955045
0.54,0.6515778367270592
0.54,0.7990379573233493
0.54,0.8662571001845438
0.54,0.9425985085951749
0.56,0.2718930836129571
0.56,0.48109582364356956
0.56,0.652565207151542
0.56,0.8015378236725891
0.56,0.8638614285284619
0.56,0.9419738254112068
0.58,0.2706008171654382
0.58,0.4792083931916755
0.58,0.6536570758655469
0.58,0.8038597785698022
0.58,0.8615340126714758
0.58,0.9413741436660858
0.6,0.2693361212562591
0.6,0.4773359121371093
0.6,0.6548389775126128
0.6,0.8059936910381211
0.6,0.859291279454508
0.6,0.9408002202383707
0.62,0.2681034190370354
0.62,0.4754887776379129
0.62,0.656096374843579
0.62,0.8079285155376236
0.62,0.8571513832181888
0.62,0.9402526721014868
0.64,0.2669069690600666
0.64,0.47367695939130966
0.64,0.6574146944569174
0.64,0.8096523463348694
0.64,0.8551341334094703
0.64,0.9397319967033909
0.66,0.2657508584066877
0.66,0.47190995296589777
0.66,0.6587793465066516
0.66,0.8111527677958421
0.66,0.8532606189748012
0.66,0.9392385901157785
0.68,0.26463899616978315
0.68,0.4701967477112713
0.68,0.6601757336841354
0.68,0.8124176823964028
0.68,0.8515523471379914
0.68,0.938772763062694
0.7000000000000001,0.2635751072189551
0.7000000000000001,0.46854580628831616
0.7000000000000001,0.6615892550892911
0.7000000000000001,0.8134367962797071
0.7000000000000001,0.8500297155999894
0.7000000000000001,0.9383347549754424
0.72,0.2625627261976698
0.72,0.46696505316229275
0.72,0.6630053108166699
0.72,0.8142038264880668
0.72,0.8487097522893051
0.72,0.9379247462408568
0.74,0.26160519172007224
0.74,0.46546186976820997
0.74,0.6644093132210123
0.74,0.8147192047387396
0.74,0.847603345405194
0.74,0.9375428688182071
0.76,0.2607056407522123
0.76,0.46404309444050384
0.76,0.6657867108795242
0.76,0.814992635930465
0.76,0.8467126025769048
0.76,0.9371892153988305
0.78,0.2598670031764775
0.78,0.4627150255670868
0.78,0.6671230311706955
0.78,0.815044569244875
0.78,0.846029277833113
0.78,0.9368638472755906
0.8,0.25909199655119924
0.8,0.4614834267602984
0.8,0.6684039470334563
0.8,0.8149057956484564
0.8,0.8455350489740185
0.8,0.9365668010777433
0.8200000000000001,0.2583831210878687
0.8200000000000001,0.46035353312541955
0.8200000000000001,0.6696153727118783
0.8200000000000001,0.814615077350135
0.8200000000000001,0.8452037364828403
0.8200000000000001,0.9362980945125599
0.84,0.2577426548749465
0.84,0.45933005794952414
0.84,0.6707435919704365
0.84,0.8142155326044013
0.84,0.8450047381959167
0.84,0.9360577312402947
0.86,0.257172649385479
0.86,0.458417199329507
0.86,0.6717754202448951
0.86,0.8137508743167461
0.86,0.8449065805680821
0.86,0.9358457049934455
0.88,0.2566749253075689
0.88,0.4576186464131602
0.88,0.6726983994066252
0.88,0.8132623671506469
0.88,0.8448797236437058
0.88,0.935662003036403
0.9,0.256251068739637
0.9,0.45693758504622545
0.9,0.6735010203287172
0.9,0.8127868382683712
0.9,0.8448982896909922
0.9,0.9355066090473436
0.92,0.2559024277918609
0.92,0.45637670270581926
0.92,0.6741729645030373
0.92,0.8123556387429786
0.92,0.8449408273368001
0.92,0.9353795054910238
0.9400000000000001,0.2556301096335665
0.9400000000000001,0.4559381926626909
0.9400000000000001,0.6747053520367609
0.9400000000000001,0.8119942605748606
0.9400000000000001,0.8449904189576324
0.9400000000000001,0.9352806755390034
0.96,0.2554349780228885
0.96,0.45562375735568716
0.96,0.6750909801093713
0.96,0.8117223141920842
0.96,0.8450344423178289
0.96,0.9352101045829168
0.98,0.2553176513504085
0.98,0.45543461098564253
0.98,0.6753245341328574
0.98,0.8115536530376585
0.98,0.8450642175274189
0.98,0.9351677813764643
1,0.2552785012224178
1,0.4553714813471919
1,0.6754027540708564
1,0.8114965193292226
1,0.8450746826892908
1,0.9351536988328115
1.02,0.25508181327847074
1.02,0.4555081758511421
1.02,0.675329870054907
1.02,0.811364067006983
1.02,0.845290604226104
1.02,0.9352040576241881
1.04,0.25449353422896465
1.04,0.4559165199141398
1.04,0.6751116776351884
1.04,0.8109783767543488
1.04,0.8459254550741662
1.04,0.9353557819270846
1.06,0.2535189393202785
1.06,0.45659134845854404
1.06,0.674749553721532
1.06,0.8103711774234504
1.06,0.8469438167857684
1.06,0.9356108200185939
1.08,0.2521665404508934
1.08,0.4575243333035949
1.08,0.6742457615221821
1.08,0.8095860970915589
1.08,0.8482959351302438
1.08,0.9359724286378034
1.1,0.25044769848523446
1.1,0.4587043710156063
1.1,0.6736034042892899
1.1,0.8086699557469563
1.1,0.849926466054832
1.1,0.9364451823192999
1.12,0.24837613921134247
1.12,0.46011806718455117
1.12,0.6728263629044541
1.12,0.8076664796709582
1.12,0.8517808236149391
1.12,0.9370349758448292
1.1400000000000001,0.24596741843339623
1.1400000000000001,0.46175027164003263
1.1400000000000001,0.6719192195355357
1.1400000000000001,0.8066131144361968
1.1400000000000001,0.8538084617336489
1.1400000000000001,0.9377490087312753
1.16,0.24323837999529532
1.16,0.4635846208155533
1.16,0.6708871700673372
1.16,0.805540174973101
1.16,0.8559638631009072
1.16,0.9385957371938768
1.18,0.24020664339399964
1.18,0.46560405060812887
1.18,0.6697359283477525
1.18,0.8044712896764844
1.18,0.8582062926866055
1.18,0.9395847759713306
1.2,0.23689014744333375
1.2,0.4677912532774812
1.2,0.668471625471507
1.2,0.8034243676995891
1.2,0.8604991027055643
1.2,0.940726730645691
1.22,0.23330676556776822
1.22,0.4701290628113355
1.22,0.667100707330651
1.22,0.802412660374614
1.22,0.8628090332099955
1.22,0.9420329419139463
1.24,0.22947399854927078
1.24,0.47260076293783965
1.24,0.6656298334958239
1.24,0.8014457263154228
1.24,0.8651057090649872
1.24,0.9435151281918907
1.26,0.22540874295616675
1.26,0.4751903195593115
1.26,0.6640657801731392
1.26,0.8005302396553448
1.26,0.8673613941065487
1.26,0.9451849232564761
1.28,0.22112712836416992
1.28,0.4778825444999643
1.28,0.6624153495413219
1.28,0.7996706400411301
1.28,0.8695509884710968
1.28,0.9470533216580055
1.3,0.21664441363613332
1.3,0.4806632002989499
1.3,0.6606852872557347
1.3,0.7988696448106282
1.3,0.871652213638959
1.3,0.9491300647247556
1.32,0.21197493150077765
1.32,0.4835190568063164
1.32,0.6588822093561778
1.32,0.7981286484965784
1.32,0.8736459054614959
1.32,0.9514230200182828
1.34,0.20713207090876307
1.34,0.4864379100980874
1.34,0.6570125392780201
1.34,0.797448032818381
1.34,0.8755163240169882
1.34,0.9539376209581367
1.36,0.20212828765139348
1.36,0.48940857321308084
1.36,0.6550824551767203
1.36,0.7968274063959601
1.36,0.8772513919523173
1.36,0.9566764348507671
1.3800000000000001,0.19697513511885079
1.3800000000000001,0.49242084682423803
1.3800000000000001,0.653097847359976
1.3800000000000001,0.7962657894630095
1.3800000000000001,0.8788427913775377
1.3800000000000001,0.9596389134213329
1.4000000000000001,0.19168330855849522
1.4000000000000001,0.49546547646418104
1.4000000000000001,0.6510642852932309
1.4000000000000001,0.7957617555067124
1.4000000000000001,0.8802858808416673
1.4000000000000001,0.9628213520542779
1.42,0.18626269761563286
1.42,0.4985341015024407
1.42,0.6489869934066436
1.42,0.7953135391177631
1.42,0.8815794311566442
1.42,0.9662170494690602
1.44,0.18072244319236558
1.44,0.5016191998126389
1.44,0.6468708347803281
1.44,0.7949191173136099
1.44,0.882725212236013
1.44,0.969816628193009
1.46,0.17507099571592058
1.46,0.504714031008759
1.46,0.6447203017091692
1.46,0.7945762700680918
1.46,0.8837274846954203
1.46,0.9736084560633148
1.48,0.16931617276053978
1.48,0.5078125802730341
1.48,0.6425395121351078
1.48,0.7942826246212443
1.48,0.8845924564273306
1.48,0.9775791035227038
1.5,0.16346521463430702
1.5,0.5109095041272246
1.5,0.6403322109691686
1.5,0.7940356872571764
1.5,0.8853277575782531
1.5,0.9817137789131667
1.52,0.1575248370505015
1.52,0.5140000789881034
1.52,0.6381017753933068
1.52,0.7938328655534851
1.52,0.8859419724821445
1.52,0.9859966992574563
1.54,0.15150128037987054
1.54,0.5170801529693104
1.54,0.6358512233215167
1.54,0.7936714835702404
1.54,0.8864442498970939
1.54,0.990411371403293
1.56,0.14540035525117212
1.56,0.5201461011183692
1.56,0.6335832242997268
1.56,0.793548792023022
1.56,0.8868439976990403
1.56,0.9949407735211906
1.58,0.13922748445914887
1.58,0.5231947840866364
1.58,0.6313001122276363
1.58,0.7934619751453563
1.58,0.8871506572045703
1.58,0.9995674383567706
1.6,0.13298774126692692
1.6,0.5262235101014371
1.6,0.6290038993862856
1.6,0.7934081556714931
1.6,0.8873735458718762
1.6,1.0042734457124454
1.62,0.12668588427409508
1.62,0.5292300000280872
1.62,0.6266962913496145
1.62,0.7933843991450542
1.62,0.8875217545005517
1.62,1.0090403338204896
1.6400000000000001,0.12032638906952577
1.6400000000000001,0.5322123552622263
1.6400000000000001,0.6243787024436268
1.6400000000000001,0.7933877185705732
1.6400000000000001,0.8876040850460523
1.6400000000000001,1.0138489403367303
1.6600000000000001,0.11391347691738185
1.6600000000000001,0.535169028170457
1.6600000000000001,0.6220522714923532
1.6600000000000001,0.7934150802627287
1.6600000000000001,0.8876290166702849
1.6600000000000001,1.0186791826479755
1.68,0.10745114072960456
1.68,0.5380987947922756
1.68,0.6197178776549944
