"k","fa/c"
1,0.2451742512388367
1,0.43997732797320727
1,0.6553541720522094
1,0.8023159713223805
1,0.8084519716401966
1,0.8960077177561969
1.01,0.24512728686513452
1.01,0.4400104222976938
1.01,0.6553422249572881
1.01,0.8020492861632281
1.01,0.8087138089049821
1.01,0.8960385925570297
1.02,0.2449864974763805
1.02,0.4401096100992269
1.02,0.6553063728766947
1.02,0.8013535918096163
1.02,0.8093949144661173
1.02,0.8961312336472876
1.03,0.24475219857488326
1.03,0.44027458074063236
1.03,0.6552466327967428
1.03,0.8004053270476958
1.03,0.8103186996395205
1.03,0.896285755936227
1.04,0.24442491174704928
1.04,0.4405048207412227
1.04,0.6551630331133684
1.04,0.7993226825555716
1.04,0.8113667283756292
1.04,0.8965023463974019
1.05,0.24400535841006182
1.05,0.4407996200266967
1.05,0.6550556137473348
1.05,0.7981676655885515
1.05,0.8124766591766105
1.05,0.8967812573574935
1.06,0.24349445130654307
1.06,0.44115808042979826
1.06,0.6549244263023055
1.06,0.796972523744439
1.06,0.8136158304170145
1.06,0.8971227972610779
1.07,0.2428932839811201
1.07,0.4415791262076464
1.07,0.6547695342625891
1.07,0.7957551545401857
1.07,0.8147658621708743
1.07,0.8975273190797999
1.08,0.24220311851946355
1.08,0.4420615162952308
1.08,0.6545910132265225
1.08,0.7945263199579827
1.08,0.8159154551639386
1.08,0.8979952065927349
1.09,0.24142537186384755
1.09,0.4426038579810634
1.09,0.6543889511707289
1.09,0.7932930102719289
1.09,0.8170570422546256
1.09,0.8985268588274835
1.1,0.24056160103861424
1.1,0.443204621671421
1.1,0.6541634487396735
1.1,0.7920600887336903
1.1,0.8181851605151381
1.1,0.8991226730169346
1.11,0.23961348762509957
1.11,0.4438621564038022
1.11,0.6539146195543712
1.11,0.7908311430447272
1.11,0.8192956175711369
1.11,0.8997830264911651
1.12,0.23858282181841134
1.12,0.44457470577701147
1.12,0.6536425905334774
1.12,0.7896089511100653
1.12,0.820385044232303
1.12,0.9005082579829172
1.13,0.23747148638057264
1.13,0.44534042398344664
