"Frequency(GHz)","ez_eff","mud_eff","alpha_eff"
9.75,-0.08274077306605801,-1.949292404127541,-1.7546182662208645
9.76,-0.080726490669799,-1.93282280202592,-1.7434279378323243
9.770000000000001,-0.07870650139799082,-1.9166262751995569,-1.7324942160841867
9.780000000000001,-0.07668098757297007,-1.9006945040321614,-1.7218090433198745
9.790000000000001,-0.07465013293239083,-1.8850194493173371,-1.7113646389050146
9.8,-0.07261412269398604,-1.8695933383800887,-1.7011534854804942
9.81,-0.07057314361786757,-1.8544086520261622,-1.6911683160403528
9.82,-0.06852738406735298,-1.8394581122838491,-1.6814021017990257
9.83,-0.06647703406726856,-1.8247346708938252,-1.6718480408046825
9.84,-0.06442228536021,-1.8102314985269565,-1.6624995472775441
9.850000000000001,-0.06236333146061835,-1.7959419746979066,-1.6533502416423664
9.860000000000001,-0.060300367706617605,-1.781859678370805,-1.644393941250076
9.870000000000003,-0.058233591309462644,-1.7679783792435289,-1.6356246517765456
9.88,-0.056163201400792735,-1.754292029715683,-1.62703655930295
9.89,-0.0540893990773051,-1.740794757565802,-1.6186240231035824
9.9,-0.05201238744324574,-1.7274808593694375,-1.610381569172993
9.91,-0.04993237165022039,-1.7143447947166168,-1.6023038845513025
9.92,-0.04784955893475886,-1.7013811813320512,-1.594385812550731
9.930000000000001,-0.04576415865322276,-1.688584791225264,-1.5866223490117066
9.940000000000001,-0.04367638231446011,-1.6759505480801453,-1.5790086397970682
9.950000000000001,-0.04158644360984192,-1.663473526181446,-1.571539979823858
9.96,-0.03949455844111004,-1.6511489513193023,-1.564211814073193
9.97,-0.03740094494592516,-1.6389722043131143,-1.5570197412207545
9.98,-0.03530582352143988,-1.6269388281457113,-1.5499595208801729
9.99,-0.03320941684610554,-1.615044540205736,-1.5430270859586008
10.,-0.031111949900403366,-1.6032852520048284,-1.5362185624938538
10.01,-0.029013649987096244,-1.5916571001630617,-1.5295303007706331
10.020000000000001,-0.02691474675268385,-1.5801564949582179,-1.5229589240179013
10.030000000000003,-0.024815472212317065,-1.5687801972548985,-1.5165014055147208
10.040000000000001,-0.022716060782523327,-1.5575254430917769,-1.5101551934023216
10.05,-0.020616749330202373,-1.5463901520451195,-1.5039184193563078
10.06,-0.01851777725421126,-1.5353732907917945,-1.4977902626122601
10.07,-0.016419386635138665,-1.5244755430979502,-1.4917716207142366
10.08,-0.01432182253624112,-1.5137006339716645,-1.4858664350455644
10.09,-0.0122253336725721,-1.5030581973749393,-1.480084561327215
10.100000000000001,-0.010130174105712592,-1.4925708051144448,-1.4744488049070408
10.110000000000001,-0.00803660841484572,-1.4822945547958517,-1.4690155260518856
10.120000000000003,-0.005944933040435903,-1.472399339178272,-1.4639549692358538
10.129999999999999,-0.0038556415675638452,-1.4637333673154875,-1.4601161076638722
10.14,-0.0017684475449814018,-1.4559810922707648,-1.457179788487676
10.15,0.0003195879119339754,-1.448850969742002,-1.454894294322365
10.16,0.0024021228466877906,-1.4317209825517425,-1.4425522033041065
10.17,0.004481139016205143,-1.4205420267885256,-1.4361657158617134
10.180000000000001,0.0065566978959389335,-1.4100193778042014,-1.4304291897607697
10.190000000000001,0.008628579505085549,-1.3997557154528915,-1.424944843107373
10.200000000000001,0.010696528970370968,-1.3896413769993199,-1.4196030565937714
10.21,0.012760280582919075,-1.3796319272920818,-1.414359544930594
10.22,0.014819563392098018,-1.369704839291688,-1.4091919656202172
10.23,0.016874103027022448,-1.3598467223015185,-1.4040871271154762
10.24,0.018923622427028667,-1.3500485799027266,-1.3990362396221858
10.25,0.02096784218289635,-1.3403037603306447,-1.3940328625344407
10.26,0.023006480717286264,-1.3306069683427557,-1.389071914972486
10.270000000000001,0.02503925439074685,-1.3209537476774111,-1.3841491576125426
10.280000000000003,0.027065877569733488,-1.3113401917078267,-1.3792609030472356
10.290000000000001,0.029086062673341767,-1.3017627729154304,-1.3744038451404323
10.3,0.03109952020691492,-1.292218237918434,-1.3695749540331639
10.31,0.03310595878653246,-1.2827035404698037,-1.3647714091766074
10.32,0.03510508515658471,-1.2732157973556035,-1.3599905553016354
10.33,0.037096604201411455,-1.263752258610573,-1.3552298727294874
10.34,0.039080218951401506,-1.2543102869577656,-1.3504869569241258
10.350000000000001,0.04105563058376645,-1.2448873433515015,-1.3457595041615662
10.360000000000001,0.04302253841782957,-1.2354809766608015,-1.3410453013503176
10.370000000000003,0.04498063990453802,-1.226088816215909,-1.3363422187249374
10.379999999999999,0.04692963061011488,-1.2167085663735961,-1.3316482045672897
10.39,0.04886920419313625,-1.207338002530071,-1.3269612813838996
10.4,0.05079905237493057,-1.1979749681828917,-1.3222795431409153
10.41,0.05271886490268207,-1.1886173727674998,-1.31760115328215
10.42,0.05462832950477055,-1.1792631900625015,-1.3129243433247566
10.430000000000001,0.05652713183788639,-1.1699104570245933,-1.3082474118936056
10.440000000000001,0.05841495542537736,-1.1605572729402318,-1.3035687240819371
10.450000000000001,0.06029148158627669,-1.151201798816118,-1.2988867110607853
10.46,0.062156389354379046,-1.1418422569441224,-1.2941998698734238
10.47,0.06400935538690651,-1.1324769305950158,-1.2895067633695696
10.48,0.06585005386197841,-1.1231041637987047,-1.2848060202379519
10.49,0.0676781563643726,-1.113722361188216,-1.2800963351148429
10.5,0.06949333175886147,-1.104329987874109,-1.2753764687363514
