"ky(2π/a)","Frequency(GHz)","LDOS(s/m)"
-0.5,8.,0.11193798212518026
-0.5,8.01,0.12106879922263965
-0.5,8.02,0.13153135651224632
-0.5,8.03,0.14361483727957294
-0.5,8.04,0.15769428893711912
-0.5,8.05,0.17426383079524602
-0.5,8.06,0.1939860855192128
-0.5,8.07,0.21776764646566488
-0.5,8.08,0.24687764250539646
-0.5,8.09,0.2831401999268117
-0.5,8.1,0.32925883271250844
-0.5,8.11,0.38938763658797315
-0.5,8.12,0.47019016963591326
-0.5,8.13,0.5829266845342683
-0.5,8.14,0.7478863049490871
-0.5,8.15,1.004704718308668
-0.5,8.16,1.439331593419797
-0.5,8.17,2.2657670998788877
-0.5,8.18,4.124117164823395
-0.5,8.19,9.348183260951659
-0.5,8.2,22.73961602094262
-0.5,8.21,16.9095608036078
-0.5,8.22,6.87389806525312
-0.5,8.23,3.7524523647061363
-0.5,8.24,2.723033838143753
-0.5,8.25,2.4582116054379366
-0.5,8.26,2.907969196879393
-0.5,8.27,4.518448136359155
-0.5,8.28,9.483273868671542
-0.5,8.29,23.050227842838634
-0.5,8.3,18.3554450477567
-0.5,8.31,7.208719698607658
-0.5,8.32,3.5077189018795636
-0.5,8.33,2.105108669216349
-0.5,8.34,1.4685678088343452
-0.5,8.35,1.166969331180327
-0.5,8.36,1.0947857010977078
-0.5,8.37,1.3662404016561485
-0.5,8.38,1.4807563711302518
-0.5,8.39,0.9772218837787812
-0.5,8.4,0.8142067934051918
-0.5,8.41,0.8130661380201993
-0.5,8.42,0.9109586388059255
-0.5,8.43,1.1276525177573014
-0.5,8.44,1.5547831971104784
-0.5,8.45,2.4532658936163543
-0.5,8.46,4.669084226461506
-0.5,8.47,11.355380377496472
-0.5,8.48,22.486430635238357
-0.5,8.49,11.307564480067478
-0.5,8.5,4.642020471801598
-0.5,8.51,2.4271942755728952
-0.5,8.52,1.5240777532906358
-0.5,8.53,1.0907900873275451
-0.5,8.54,0.8678287239210327
-0.5,8.55,0.7643745977333601
-0.5,8.56,0.7593060539979487
-0.5,8.57,0.8977110441814192
-0.5,8.58,1.4038406174826994
-0.5,8.59,2.891115754444633
-0.5,8.6,2.6796503398474876
-0.5,8.61,1.2956519536462683
-0.5,8.62,0.8420622672414217
-0.5,8.63,0.7097267893026259
-0.5,8.64,0.7051682601725259
-0.5,8.65,0.7888287171559617
-0.5,8.66,0.9798616586605382
-0.5,8.67,1.3620615401821807
-0.5,8.68,2.1786373412168665
-0.5,8.69,4.199401077466317
-0.5,8.7,9.449407984481468
-0.5,8.71,11.958215238426403
-0.5,8.72,5.748822192325256
-0.5,8.73,2.8335317323144444
-0.5,8.74,1.7626980064280326
-0.5,8.75,1.3447599856640773
-0.5,8.76,1.2291825337221414
-0.5,8.77,1.3385200451639094
-0.5,8.78,1.7476388492148034
-0.5,8.79,2.737487475941352
-0.5,8.8,4.594174155061389
-0.5,8.81,5.1347698954962855
-0.5,8.82,3.2927784193980543
-0.5,8.83,2.0723810910031446
-0.5,8.84,1.5985540379016427
-0.5,8.85,1.5541397215776287
-0.5,8.86,1.917173720212455
-0.5,8.87,2.987920359045798
-0.5,8.88,4.7173738911178535
-0.5,8.89,4.42958013673486
-0.5,8.9,4.271661736475592
-0.5,8.91,7.036336888259507
-0.5,8.92,14.406864271553035
-0.5,8.93,10.73948807028432
-0.5,8.94,4.554998569436957
-0.5,8.95,2.3006278935478486
-0.5,8.96,1.382846344287813
-0.5,8.97,0.9326707921168643
-0.5,8.98,0.6794894463150026
-0.5,8.99,0.5225395360598437
-0.5,9.,0.41805520347925307
-0.5,9.01,0.34464339528731647
-0.5,9.02,0.29085114703074044
-0.5,9.03,0.25009239561873214
-0.5,9.04,0.21835579389046572
-0.5,9.05,0.19308041529623415
-0.5,9.06,0.17256593507675602
-0.5,9.07,0.15564539413951253
-0.5,9.08,0.14149486356987853
-0.5,9.09,0.12951817473575924
-0.5,9.1,0.11927463066139433
-0.5,9.11,0.11043226992048162
-0.5,9.120000000000001,0.1027368297344065
-0.5,9.13,0.09599063882378325
-0.5,9.14,0.09003795521940446
-0.5,9.15,0.08475458508024629
-0.5,9.16,0.08004040496156624
-0.5,9.17,0.07581389070871591
-0.5,9.18,0.07200805713123722
-0.5,9.19,0.06856740518173715
-0.5,9.2,0.06544559903515478
-0.5,9.21,0.06260367897745178
-0.5,9.22,0.06000867244367549
-0.5,9.23,0.05763250426733863
-0.5,9.24,0.05545113415448309
-0.5,9.25,0.0534438684040827
-0.5,9.26,0.0515928064685442
-0.5,9.27,0.04988239275046931
-0.5,9.28,0.04829905118799571
-0.5,9.29,0.046830885458101025
-0.5,9.3,0.045467431555582714
-0.5,9.31,0.044199452455827785
-0.5,9.32,0.04301876680403306
-0.5,9.33,0.04191810527936655
-0.5,9.34,0.040890989594520574
-0.5,9.35,0.03993163010733141
-0.5,9.36,0.039034838813577784
-0.5,9.370000000000001,0.038195955111960146
-0.5,9.38,0.03741078222328175
-0.5,9.39,0.03667553253576775
-0.5,9.4,0.03598678045982222
-0.5,9.41,0.03534142162543458
-0.5,9.42,0.03473663745707331
-0.5,9.43,0.034169864324334366
-0.5,9.44,0.03363876659969934
-0.5,9.45,0.03314121306361248
-0.5,9.46,0.0326752561864917
-0.5,9.47,0.03223911389102288
-0.5,9.48,0.03183115345912536
-0.5,9.49,0.031449877298705776
-0.5,9.5,0.031093910327615052
-0.5,9.51,0.030761988767626213
-0.5,9.52,0.030452950170974012
-0.5,9.53,0.030165724527033772
-0.5,9.54,0.029899326317872718
-0.5,9.55,0.029652847409335027
-0.5,9.56,0.029425450679561063
-0.5,9.57,0.029216364299827654
-0.5,9.58,0.0290248765936987
-0.5,9.59,0.028850331409985185
-0.5,9.6,0.028692123953186835
-0.5,9.61,0.02854969702212494
-0.5,9.620000000000001,0.028422537613552578
-0.5,9.63,0.028310173852787217
-0.5,9.64,0.02821217221797162
-0.5,9.65,0.028128135028536096
-0.5,9.66,0.028057698171890147
-0.5,9.67,0.028000529045390778
-0.5,9.68,0.027956324693276146
-0.5,9.69,0.027924810120571766
-0.5,9.7,0.027905736768013722
-0.5,9.71,0.027898881133829576
-0.5,9.72,0.02790404352980371
-0.5,9.73,0.027921046960458187
-0.5,9.74,0.027949736115426654
-0.5,9.75,0.027989976466207708
-0.5,9.76,0.028041653459473577
-0.5,9.77,0.028104671799995394
-0.5,9.78,0.028178954817040542
-0.5,9.79,0.028264443908813032
-0.5,9.8,0.02836109806015443
-0.5,9.81,0.028468893429308625
-0.5,9.82,0.028587823000088754
-0.5,9.83,0.028717896296272482
-0.5,9.84,0.028859139155502155
-0.5,9.85,0.02901159356038218
-0.5,9.86,0.029175317524852765
-0.5,9.870000000000001,0.02935038503428247
-0.5,9.88,0.02953688603806315
-0.5,9.89,0.029734926493817874
-0.5,9.9,0.029944628462642155
-0.5,9.91,0.03016613025510225
-0.5,9.92,0.030399586628006903
-0.5,9.93,0.03064516903225895
-0.5,9.94,0.030903065912380158
-0.5,9.95,0.031173483058590506
-0.5,9.96,0.03145664401261405
-0.5,9.97,0.03175279052867999
-0.5,9.98,0.03206218309149317
-0.5,9.99,0.032385101493262305
-0.5,10.,0.03272184547220586
-0.5,10.01,0.03307273541529932
-0.5,10.02,0.03343811312839489
-0.5,10.030000000000001,0.03381834267723165
-0.5,10.04,0.034213811303269184
-0.5,10.05,0.034624930418724435
-0.5,10.06,0.035052136685665355
-0.5,10.07,0.03549589318454036
-0.5,10.08,0.03595669067807669
-0.5,10.09,0.03643504897709694
-0.5,10.1,0.03693151841546674
-0.5,10.11,0.037446681442116124
-0.5,10.120000000000001,0.03798115433887559
-0.5,10.129999999999999,0.03853558907374457
-0.5,10.14,0.03911067530017664
-0.5,10.15,0.03970714251402589
-0.5,10.16,0.0403257623809803
-0.5,10.17,0.040967351248600986
-0.5,10.18,0.041632772858531515
-0.5,10.19,0.04232294127603719
-0.5,10.2,0.043038824055811345
-0.5,10.21,0.04378144566496298
-0.5,10.22,0.04455189118630345
-0.5,10.23,0.04535131032751211
-0.5,10.24,0.04618092176450886
-0.5,10.25,0.04704201785044459
-0.5,10.26,0.047935969725172924
-0.5,10.27,0.04886423286394503
-0.5,10.280000000000001,0.04982835310843335
-0.5,10.29,0.05082997322810173
-0.5,10.3,0.051870840065489775
-0.5,10.31,0.052952812325234695
-0.5,10.32,0.054077869073760804
-0.5,10.33,0.055248119024593596
-0.5,10.34,0.05646581069339976
-0.5,10.35,0.05773334351723937
